P1,P2,P3,P4,P5,N1,N2,N3,N4,N5,PR1,PR2,PR3,PR4,PR5,y1,y2
0.809,27961,21810,604,9761.2121,1,362,4,80,106.68,11,4818.13,1728.8,9028.35,6,49437,54120
0.68,48616,37925,1223,9558.672875,3,646,6,743,11.91,4,2811.17,5034.99,311.58,30,170597,12584
0.623,21000,16378,838,5430.37082,2,170,3,60,157.2,15,2008.19,2991.09,5072.07,5,29572,31428
0.786,18993,14814,918,8024.713799,2,305,1,116,145.82,19,1789.13,6648.52,14644.18,3,45784,73350
0.659,37689,29348,1499,6959.421,1,373,10,1627,145.82,2,4850.38625,2265.595,450.98,200,63867,10454
0.621,28897,22540,1307,6438.361593,1,373,1,126,77.36,9,3394.32,1416.44,7446.56,7.499906,55654,32617
0.722,50531,39473,1839,11991.6913,3,458,17,3831,137,1,4850.38625,835.14,5613.302222,167,134259,66591
0.603,25629,20217,841,16379.693,2,258,22,2978,264.68892,2,3562.15,556.97,5613.302222,5,46580,59364
0.588,13531,10554,1095,3639.03747,1,200,1,21,119,10,8197,944,11263,23,11209,21473
0.714,28598,22614,704,8311.909739,3,328,9,1826,280,1,4850.38625,2265.595,425,2,51766,81176
0.818,24371,18851,555,9231.347388,1,86,12,3662,25,1,4850.38625,803,5613.302222,3,13581,44507
0.62,36927,28805,2081,6190.56383,2,176,1,84,160.843704,14,12223,1697,1878,10,19442,1731
0.707,19666,15643,867,15406.7944,2,424,12,1921,59,7,4850.38625,2265.595,5613.302222,38.4583255,60850,62436
