P1,P2,P3,P4,P5,N1,N2,N3,N4,N5,PR1,PR2,PR3,PR4,PR5,y1,y2
0.809,25961,21810,604,14810.55,2,362,4,80,106.68,11,3682.478959,1740.543559,9028.35,6,49437,54120
0.68,48116,37925,1223,32295.74074,5,646,6,743,11.91,4,12052.56312,6651.340283,311.58,30,170597,12584
0.623,21345,16378,838,5676.296296,2,170,3,60,157.2,15,2162.586075,1200.967982,5072.07,5,29572,31428
0.786,19993,14814,918,9019.259259,2,305,1,116,145.82,19,3402.983933,1404.54207,14644.18,3,45784,73350
0.659,37989,29348,1499,4119.814815,3,373,10,1627,145.82,2,4986.534047,2377.773641,450.98,200,63867,10454
0.621,28197,22540,1307,8354.444444,2,373,1,126,77.36,9,4458.148432,2072.002978,7446.56,7.499906,55654,32617
0.722,46531,39473,1839,29566.48148,4,458,17,3831,137,1,11272.30298,4898.473567,5613.302222,167,134259,66591
0.603,24629,20217,841,8525.925926,2,258,22,2978,264.68892,2,3463.886764,1634.177215,5613.302222,5,46580,59364
0.588,12531,10554,1095,2175.740741,1,200,1,21,119,10,857.6128539,427.3119881,11263,23,11209,21473
0.714,27598,22614,704,9486.296296,2,328,9,1826,280,1,3970.673298,1827.25242,425,2,51766,81176
0.818,26371,18851,555,1874.259259,2,86,12,3662,25,1,1139.097169,525.6217424,5613.3,3,13581,44507
0.62,35927,28805,2081,2689.259259,1,176,1,84,160.843704,14,1387.528692,713.8272524,1878,10,19442,1731
0.707,19866,15643,867,7464.814815,3,424,12,1921,59,7,4555.700077,2365.450484,5613.3,38.4583255,60850,62436
