P1,P2,P3,P4,P5,N1,N2,N3,N4,N5,PR1,PR2,PR3,PR4,PR5,y1,y2
0.809,24968,"21,810",604,8144.48,2,323,4,80,106.68,11,3523.66,3611.18,"9,028.35",6,49437,49936
0.68,93735,"37,925",1223,31533.64,7,1149,6,743,11.91,4,12664.96,12497.95,311.58,30,170597,181486
0.623,15088,"16,378",838,5107.43,1,186,3,60,157.2,15,2046.51,2043.68,"5,072.07",5,29572,30487
0.786,23722,"14,814",918,8103.36,2,308,1,116,145.82,19,3254.02,3341.90,"14,644.18",3,45784,45331
0.659,35680,"29,348",1499,10770.15,2,424,10,1627,145.82,2,4532.79,4916.63,450.98,200,63867,64512
0.621,28251,"22,540",1307,10287.25,2,334,1,126,77.36,9,3854.16,3975.29,"7,446.56",7.499906,55654,57973
0.722,72572,"39,473",1839,22950.26,6,834,17,3831,137,1,9915.73,9750.11,5613.302222,167,134259,130349
0.603,24909,"20,217",841,7881.56,2,314,22,2978,264.68892,2,3329.52,3452.93,5613.302222,5,46580,47531
0.588,6227,"10,554",1095,1846.62,1,74,1,21,119,10,829.07,804.09,11263,23,11209,11799
0.714,27245,"22,614",704,8956.06,2,345,9,1826,280,1,3781.30,3637.81,425,2,51766,51766
0.818,7037,"18,851",555,2321.54,1,85,12,3662,25,1,1049.54,991.31,"5,613.30",3,13581,13718
0.62,9970,"28,805",2081,3410.88,1,121,1,84,160.843704,14,1475.11,1409.86,1878,10,19442,19638
0.707,31366,"15,643",867,10296.11,3,404,12,1921,59,7,4527.53,4368.27,"5,613.30",38.4583255,60850,65430
