P1,P2,P3,P4,P5,N1,N2,N3,N4,N5,PR1,PR2,PR3,PR4,PR5,y1,y2
0.809,25883.24607,21810,604,8538.34,2,300,4,80,107,11,3156.90,1563.97,9028.35,6,49437,46203
0.68,91718.8172,37925,1223,30627.83,7,1031,6,743,12,4,13224.57,5975.38,311.58,30,170597,159436
0.623,13949.0566,16378,838,4808.46,1,199,3,60,157,15,1930.29,1137.38,5072.07,5,29572,29279
0.786,22443.13725,14814,918,8737.40,2,274,1,116,146,19,3016.07,1427.18,14644.18,3,45784,48194
0.659,33264.0625,29348,1499,12050.38,2,402,10,1627,146,2,4327.03,2256.78,450.98,200,63867,63867
0.621,31802.28571,22540,1307,10560.53,2,358,1,126,77,9,4153.28,2084.42,7446.56,7,55654,51059
0.722,61870.50691,39473,1839,22833.16,6,927,17,3831,137,1,9908.41,5051.13,5613.30,167,134259,127866
0.603,22833.33333,20217,841,8805.29,2,264,22,2978,265,2,3627.73,1719.45,5613.30,5,46580,47051
0.588,5576.616915,10554,1095,2075.74,1,66,1,21,119,10,779.49,417.78,11263.00,23,11209,11799
0.714,27682.35294,22614,704,9065.85,2,316,9,1826,280,1,3689.67,1862.09,425.00,2,51766,48379
0.818,7036.787565,18851,555,2138.74,1,88,12,3662,25,1,873.94,485.04,5613.30,3,13581,14924
0.62,9302.392344,28805,2081,3110.72,1,113,1,84,161,14,1469.54,676.95,1878.00,10,19442,20043
0.707,29114.83254,15643,867,11502.84,2,349,12,1921,59,7,4162.11,2093.22,5613.30,38,60850,61465
