P1,P2,P3,P4,P5,N1,N2,N3,N4,N5,PR1,PR2,PR3,PR4,PR5,y1,y2
0.809,"25,961","21,810",604,14810.55,2,362,4,80,106.68,11,3682.478959,1740.543559,"9,028.35",6,"49,437","54,120"
0.68,"48,116","37,925",1223,32295.74074,5,646,6,743,11.91,4,12052.56312,6651.340283,311.58,30,"170,597",12584
0.623,"21,345","16,378",838,5676.296296,2,170,3,60,157.2,15,2162.586075,1200.967982,"5,072.07",5,"29,572","31,428"
0.786,"19,993","14,814",918,9019.259259,2,305,1,116,145.82,19,3402.983933,1404.54207,"14,644.18",3,"45,784","73,350"
0.659,"37,989","29,348",1499,4119.814815,3,373,10,1627,145.82,2,4986.534047,2377.773641,450.98,200,"63,867",10454
0.621,"28,197","22,540",1307,8354.444444,2,373,1,126,77.36,9,4458.148432,2072.002978,"7,446.56",7.499906,"55,654","32,617"
0.722,"46,531","39,473",1839,29566.48148,4,458,17,3831,137,1,11272.30298,4898.473567,5613.302222,167,"134,259",66591
0.603,"24,629","20,217",841,8525.925926,2,258,22,2978,264.68892,2,3463.886764,1634.177215,5613.302222,5,"46,580",59364
0.588,"12,531","10,554",1095,2175.740741,1,200,1,21,119,10,857.6128539,427.3119881,11263,23,"11,209",21473
0.714,"27,598","22,614",704,9486.296296,2,328,9,1826,280,1,3970.673298,1827.25242,425,2,"51,766",81176
0.818,"26,371","18,851",555,1874.259259,2,86,12,3662,25,1,1139.097169,525.6217424,"5,613.30",3,"13,581",44507
0.62,"35,927","28,805",2081,2689.259259,1,176,1,84,160.843704,14,1387.528692,713.8272524,1878,10,"19,442",1731
0.707,"19,866","15,643",867,7464.814815,3,424,12,1921,59,7,4555.700077,2365.450484,"5,613.30",38.4583255,"60,850",62436
